PE,Administrator{B-EVE} shall be able to activate a pre-paid card{B-PART} via the Administration section{B-ORG} in under 5{B-NUM} seconds{B-TIM}.,,,,,,,
PE,Customer{B-EVE} shall be able to check the status of their prepaid card{B-PART}  by entering in the PIN number{B-NUM}  in under 5{I-NUM} seconds{B-TIM}.,,,,,,,
PE,System{B-EVE} shall let customers{I-EVE} register on the website{B-SSW} as a pay as you go user in under 5{B-NUM} minutes{B-TIM}.,,,,,,,
PE,VON,,,,,,,
PE,System{B-SSW} shall let existing customers{B-EVE} log into the website{I-SSW} with their email{B-VART} address{B-LOC} and password{B-AUTH} in under 5{B-NUM} seconds{B-TIM}.,,,,,,,
PE,System{B-SSW} shall let customers{B-EVE} cancel their account  process shall take no longer than 2{B-NUM} minutes{B-TIM}.  Database{B-VART} will mark the account as inactive  and user{B-EVE} will not be able to log into the website{I-SSW}.,,,,,,,
PE,System{B-SSW} shall let administrator{B-EVE} de-activate a customer{I-EVE} account in under 1{B-NUM} minute{B-TIM}. Customer{I-EVE} will no longer be able to access the website{I-SSW}.,,,,,,,
PE,System{B-SSW} shall let administrator{B-EVE} add/remove movies{B-VART} on the website in under 5{B-NUM} minutes{B-TIM}.  Entered movie{B-VART} information{B-INFO} will be stored in the database{B-VART} and will now be available on the website{B-SSW}.,,,,,,,
PE,System{B-SSW} shall let the administrator{B-EVE} add/remove categories on the website{B-SSW} in under 5{B-NUM} minutes{B-TIM}.,,,,,,,
PE,System{B-SSW} shall let Izogn Manager{B-EVE} access sales and usage statistics in under 2{B-NUM} minutes{B-TIM}.,,,,,,,
PE,System{B-SSW} shall let administrators{B-EVE} generate unique pre-paid pins{B-NUM} in under 2{I-NUM} minutes{B-TIM} and generate an Excel file{I-SSW} with the generated PINs{I-NUM}.,,,,,,,
LF,The website{B-PLAT} shall be attractive to all audiences{B-EVE}.  The website{I-PLAT} shall appear to be fun and the colors should be bright{B-VART} and vibrant{I-VART}.,,,,,,,
LF,The website{B-PLAT} should have an African{B-LOC} feel  but should not alienate non-Africans{B-EVE}.  The website{I-PLAT} should use animation{B-VART} on pages{B-PART} which are describing the services{B-ORG}  to grab the users{I-EVE} attention and encourage them to sign up.,,,,,,,
LF,The website{B-PLAT} design should be modern  clean  and concise.,,,,,,,
US,The product{B-PART} should be able to be used by 90%{B-NUM} of novice users{B-EVE} on the Internet{I-PLAT}.,,,,,,,
US,Users{B-EVE} should only have to navigate through a maximum of 4{B-NUM} pages  to create an account with the website{B-PLAT}.,,,,,,,
US,Users{B-EVE} should be able to access their streaming movies{B-VART} in under 2{B-NUM} clicks after logging into the website{B-PLAT}.,,,,,,,
US,An anonymous survey will show that 70%{B-NUM} of customers{B-EVE} are comfortable purchasing streaming movies{B-VART} after 2{B-NUM} weeks{B-TIM} using the website{B-PLAT}.,,,,,,,
US,An anonymous survey will show that 95%{B-NUM} of customers{B-ACTOR} are comfortable using and purchasing pre-paid cards after a month{B-TIM} of using the system{B-SSW}.,,,,,,,
US,The product{B-PART} shall retain the customer{B-ACTOR}s buying preferences and information{B-INFO}.,,,,,,,
US,The product{B-PART} shall be easy for customers{B-ACTOR} with novice skills on the  Internet{B-PLAT} to purchase and watch streaming movies{B-VART}.  Customers{I-ACTOR} should be able to purchase and watch a pre-determined movie in under 3{B-NUM} minutes{B-TIM}.,,,,,,,
US,The product{B-PART} shall use symbols{B-INFO} and words{I-INFO} that are naturally understandable by users{B-ACTOR} familiar with websites{B-PLAT},,,,,,,
US,The website{B-PLAT} will use standard Internet{B-PLAT} conventions when interacting with the user{B-ACTOR}.,,,,,,,
PE,Any interface{B-GUI} between a user{B-ACTOR} and the automated system{B-SSW} shall have a maximum response time{B-TIM} of 5{B-NUM} seconds{B-TIM}  unless noted by an exception below.,,,,,,,
PE,When purchasing a streaming movie{B-VART} or pre-paid card via credit card{B-PART}  the processing time should have a maximum response time{B-TIM} of 15{B-NUM} seconds{I-TIM}.,,,,,,,
PE,When streaming a movie{B-VART}  the buffering time{B-TIM} should take no longer than 10{B-NUM} seconds{I-TIM} (plus any latency on the users{B-ACTOR} connection.),,,,,,,
PE,While streaming a movie{B-VART}  buffering should only occur if there is latency in the users{B-ACTOR} connection.,,,,,,,
SE,All credit card{B-PART} information{B-INFO} will be secured on the server{B-SSW}  and only accessible by authorized Izogn administrators{B-ACTOR}.  Information{I-INFO} will be encrypted in the database{I-SSW}.,,,,,,,
A,The website{B-PLAT} shall be available for use 24{B-NUM} hours{B-TIM} per day  365{I-NUM} days{I-TIM} per year{I-TIM}.,,,,,,,
A,The website{B-PLAT} shall achieve 99.5%{B-NUM} up time{I-TIM}.,,,,,,,
A,All movies{B-VART} shall be streamed on demand  at any time{B-TIM} of the day{I-TIM}.,,,,,,,
FT,The website{B-PLAT} shall continue to operate if the streaming server{B-SSW} goes down.,,,,,,,
FT,The website{B-PLAT} shall continue to operate if the payment gateway{B-SSW} goes down.,,,,,,,
SC,The streaming server{B-SSW} will support 50{B-NUM} simultaneous streaming connections{B-VART}.,,,,,,,
SC,The streaming server{B-SSW} will support a maximum of 700{B-NUM} movies{B-VART}; new servers{I-SSW} can be added to support more movies{I-VART}.,,,,,,,
SC,The server{B-SSW} will support a maximum of 1 000{B-NUM} simultaneous users{B-ACTOR}.,,,,,,,
SC,The website{B-PLAT} shall be capable of supporting 100 000{B-NUM} customers{B-ACTOR}.,,,,,,,
MN,The product{B-PART} shall be expected to operate within the maximum maintenance budget for a minimum of 2{B-NUM} years{B-TIM}.,,,,,,,
O,All aspects of the website{B-PLAT} shall be accessed by a web browser{B-SSW} over the Internet{I-PLAT}.,,,,,,,
O,The same hardware{B-HW} supporting the current website{B-PLAT} will be used to support the new system{I-SSW}.,,,,,,,
O,We must be able to interface{B-GUI} with the following browsers{B-SSW}.,IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,,,,,,
O,Website{B-PLAT} must interface{B-GUI} with the CyberSource API{B-SSW} to process credit card{B-PART} transactions{B-EVE}.,,,,,,,
O,Website{B-PLAT} must be fully operational with MSN TV2{B-SSW}.,,,,,,,
O,Movies{B-VART} shall be encoded and streamed via Windows{B-SSW} Media{I-SSW} Player 9.0{I-SSW}.,,,,,,,
O,Movies{B-VART} shall be encoded for 56k{B-NUM} and 256k{I-NUM} streams.,,,,,,,
MN,Promotional updates{B-VART} to the website{B-PLAT} should take a day{B-TIM} to update{I-VART}.,,,,,,,
PE,Izogn Administrator{B-ACTOR} must be able to update{B-VART} the category listings on the website{B-PLAT} within 2{B-NUM} minutes{B-TIM}.,,,,,,,
PE,Izogn Administrator{B-ACTOR} must be able to add new products{B-PART} to the website{B-PLAT} within 2{B-NUM} minutes{B-TIM}.,,,,,,,
A,The system{B-SSW} will provide a 24{B-NUM} hour{B-TIM} 800{I-NUM} toll free number{I-NUM} for support to its customers{B-ACTOR}.,,,,,,,
US,The website{B-PLAT} will provide a help section with answers{B-INFO} and solutions{I-INFO} to common problems.,,,,,,,
A,Velkat staff{B-ACTOR} will be available for phone{B-HW} support between 7am{B-TIM}-7pm{I-TIM}  M-F{I-TIM} to provide technical support to the Izogn administrators{I-ACTOR}.,,,,,,,
O,The product{B-PART} shall be able to be installed in the specified environment within 1{B-NUM} working day{B-TIM}.,,,,,,,
SE,Only registered{B-AUTH} customers{B-ACTOR} can purchase streaming movies{B-VART}.,,,,,,,
SE,A customer{B-ACTOR} can only stream a movie{B-VART} if they purchased it  and are within the 2{B-NUM} day{B-TIM} viewing period{I-TIM}.,,,,,,,
SE,Only authorized{B-AUTH} personnel{B-ACTOR} can access customer{I-ACTOR} records in the database{B-SSW}.,,,,,,,
SE,Only administrators{B-ACTOR} can activate a pre-paid card{B-HW}.,,,,,,,
SE,Only authorized{B-AUTH} personnel{B-ACTOR} can access sales information{B-INFO}.,,,,,,,
SE,The website{B-PLAT} shall prevent its data{B-INFO} from being corrupted when incorrect data{I-INFO} is entered in.,,,,,,,
SE,The website{B-PLAT} shall protect itself from intentional abuse  and notify the administrator{B-ACTOR} at all occurrences.,,,,,,,
SE,Data{B-INFO} integrity scripts{B-INFO} will be run on a weekly{B-TIM} basis to verify the integrity of the database{B-SSW}.,,,,,,,
SE,The website{B-PLAT} shall make its user{B-ACTOR} aware of its information{B-INFO} practices before collection data from them via a Privacy Policy{I-INFO}  accessible on all pages of the website{I-PLAT}.,,,,,,,
SE,The system{B-SSW} shall notify customers{B-ACTOR} of changes to its information{B-INFO} policy{I-INFO}.,,,,,,,
SE,The system{B-SSW} shall reveal private information{B-INFO} only in compliance with the organization{B-ORG}s information{B-INFO} policy{I-INFO}.,,,,,,,
SE,All customer{B-ACTOR} information{B-INFO} will be stored on a secure database{B-SSW}  accessible only to authorized{B-AUTH} personnel{I-ACTOR}.,,,,,,,
SE,All credit card{B-HW} information{B-INFO} will be encrypted in the database{B-SSW}.,,,,,,,
SE,The streaming server{B-SSW} will have anti-virus software{I-SSW} to prevent infection of malicious viruses{I-SSW}.,,,,,,,
LF,The website{B-PLAT} should cater to all tribes in Nigeria{B-LOC}.,,,,,,,
LF,The website{B-PLAT} shall not be offensive to religious or ethnic groups{B-ACTOR}.,,,,,,,
LF,The website{B-PLAT} should appeal to all Africans{B-ACTOR}  not only Nigerians{I-ACTOR}.,,,,,,,
O,The website{B-PLAT} should use Flash{B-SSW} to provide animation on the home page{B-GUI}.,,,,,,,
L,IzognMovies{B-ACTOR} shall meet the licensing{B-INFO} requirements set forth by the appropriate organizations{B-ORG} in order to stream African movies{B-VART}.,,,,,,,
L,The website{B-PLAT} will comply with W3C{B-SSW} standards{B-AUTH}.,,,,,,,
L,The PHP{B-SSW} code{I-SSW} will comply with PEAR{I-SSW} standards{B-AUTH}.,,,,,,,
F,The website{B-PLAT} will allow customers{B-ACTOR} to search for movies{B-VART} by title  actor{I-ACTOR}  or director{I-ACTOR}.,,,,,,,
F,viewing a movie{B-VART} details  the website{B-PLAT} will display the movies{I-VART} description  actor{B-ACTOR}  and director{I-ACTOR} entered in by the administrator{I-ACTOR}.,,,,,,,
F,Website{B-PLAT} shall request  and authorize{B-AUTH} credit card{B-PART} payment before allowing a user{B-ACTOR} to stream a movie{B-VART}.,,,,,,,
F,shall be able to stream purchased movie{B-VART} via Windows{B-SSW} Media{I-SSW} Player{I-SSW}  for up to 2{B-NUM} days{B-TIM} aftere purchase date{I-TIM}.,,,,,,,
F,Website{B-PLAT} shall allow customers{B-ACTOR} to browse movies{B-VART} by categories entered in by izogn administrator{B-ACTOR}.,,,,,,,
F,Website{B-PLAT} shall allow customers{B-ACTOR} to view reviews of selected movies{B-VART} by other customers{I-ACTOR}.,,,,,,,
F,Website{B-PLAT} shall allow customers{B-ACTOR} to add their own movie{B-VART} review for a selected movie{I-VART}.,,,,,,,
F,Website{B-PLAT} shall allow the Izogn administrator{B-ACTOR} to approve a review posted by a customer{B-ACTOR}.,,,,,,,
F,System{B-SSW} will allow customers{B-ACTOR} to pay for a streaming movie{B-VART} with a pre-paid card{B-PART}.,,,,,,,
F,Website{B-PLAT} shall allow customers{B-ACTOR} to purchase pre-paid cards{B-PART} of $5{B-NUM}  $10  or $20{I-NUM} value either by credit card{B-PART} or mail-in payment{I-SSW} option.,,,,,,,
F,System{B-SSW} shall automatically update the main page of the website{B-PLAT} every Friday{B-TIM}  and show the 4{B-NUM} latest movies{B-VART} that have been added to the website{I-PLAT}.,,,,,,,
F,System{B-SSW} shall allow users{B-ACTOR} to update their billing and contact information{B-INFO} via the My Account section of the website{B-PLAT}.,,,,,,,
F,Pre-paid cards{B-PART} shall be distributed via email{B-SSW}  or via a printed paper card{I-PART}.,,,,,,,
F,Only registered{B-AUTH} customers{B-ACTOR} can purchase streaming movies{B-VART}.,,,,,,,
F,Movies{B-VART} can only be streamed if the customer{B-ACTOR} has purchased a movie{I-VART}  and is within the 2{B-NUM}-day{I-TIM} time period to stream the movie{I-VART}.,,,,,,,
F,Website{B-PLAT} must be able to support free trial periods{B-TIM} with various parameters set by the Izogn Manager{B-ACTOR}.,,,,,,,
F,All streaming movie{B-VART} sales will be logged in the database{B-SSW} and accessible by the administrator{B-ACTOR}.,,,,,,,
F,All registered customer information{B-INFO} shall be stored and maintained in the database{B-SSW}  even after the customer{B-ACTOR} cancels their account.,,,,,,,
F,Daily usage statistics{B-NUM} should be logged  and accessible by the administrator{B-ACTOR}.,,,,,,,
F,The owner{B-ACTOR} shall have free access to all of the streaming movies{B-VART}.,,,,,,,
PE,Total lead cycle time{B-TIM} must be completed in 5{B-TIM} minutes{I-TIM} for 90%{B-NUM} of lead volume between the business hours{B-TIM} of 8AM{I-TIM} CST to 8PM CST{I-TIM}; then 3{I-TIM} minutes for 99%{B-NUM} of lead volume during off business hours{B-TIM}.,,,,,,,
PE,No lead evaluation{B-EVE} will complete in a time period{B-TIM} longer than 25 seconds{I-TIM} for 97%{B-NUM} of all leads processed{B-EVE}.,,,,,,,
PE,For leads that process{B-EVE} longer than 25 seconds{B-TIM} the system{B-SSW} will record the event and duration{I-TIM},,,,,,,
PE,The process{B-EVE} must fit within the processing time{B-TIM} conditions set forth by the Auto Rep Assignment{B-INFO} process in which a lead is assigned within 3{B-TIM} minutes{I-TIM} of the total{B-NUM} life cycle.,,,,,,,
O,The lead washing process{B-EVE} will operate within the established physical web{B-SSW} service structure.,,,,,,,
O,The washing process{B-EVE} must use a non binding  neutral data{B-INFO} format  such as xml {B-INFO} when receiving and processing lead data{B-INFO}.,,,,,,,
A,Defect reports{B-INFO} will be available to technical{B-VART} units on a 24x7{B-TIM} basis.,,,,,,,
MN,Washing parameters{B-PART} will be updated{B-EVE} during scheduled maintenance hoursB-GUI{B-TIM}.,,,,,,,
F,The vendor{B-ACTOR} will verify{B-EVE} the invalid lead{B-ACTOR}.,,,,,,,
F,Vendor{B-ACTOR} will submit a credit validation{B-VART} record to be applied to the enterprise billing system{B-SSW}.,,,,,,,
F,If a lead{B-ACTOR} is scored to the high{B-NUM} range the system{B-SSW} will supply the lead data{B-INFO} and score to the enterprise system{B-SSW}.,,,,,,,
F,The leads{B-ACTOR} washing functionality will validate{B-EVE} all leads received by the web service{B-SSW} for valid data{B-INFO},,,,,,,
F,The leads{B-ACTOR} washing functionality will insert{B-EVE} all leads captured by the web service{B-SSW}.,,,,,,,
F,If the leads{B-ACTOR} score falls within the high{B-NUM} average score then it will be process by the ARA functionality{B-SSW}.,,,,,,,
F,If the leads{B-ACTOR} score falls within the medium average then it will be set for manual verification{B-AUTH} by an Enrollment Coordinato{B-ACTOR}r through the eleads system{B-SSW}.,,,,,,,
F,If the leads{B-ACTOR} score falls within the low{B-NUM} average then it will be returned to the supplying vendor{B-ACTOR},,,,,,,
F,The leads{B-ACTOR} washing functionality will compile{B-EVE} both contact and academic scoring information{B-INFO} for a total score.,,,,,,,
F,The leads{B-ACTOR} washing functionality will use{B-EVE} the parameters supplied by corporate{B-ORG} and schools{I-INFO} to score part of the lead.{B-ACTOR},,,,,,,
F,The leads{B-ACTOR} washing functionality will return{B-EVE} the lead data{B-INFO} supplied to the vendor{B-ACTOR} along with the reason of rejection{B-INFO}.,,,,,,,
F,The leads{B-ACTOR} washing functionality will have an interface{B-GUI} in which lead data parameters can be maintained.{B-EVE},,,,,,,
F,The leads{B-ACTOR} washing functionality will verify{B-EVE} the users authentication{B-AUTH} and rights{B-AUTH} to make parameter updates.,,,,,,,
F,The leads{B-ACTOR} washing functionality will store{B-EVE} any potential lead{B-ACTOR} duplicates returned by the enterprise system{B-SSW}.,,,,,,,
F,Prior{B-INFO} to submitting the lead{B-ACTOR} to the enterprise system{B-SSW} the leads{B-ACTOR} washing functionality will assign the lead{B-ACTOR} to an admissions rep{B-EVE}.,,,,,,,
F,The leads{B-ACTOR} washing functionality shall receive{B-EVE} a period {B-TIM}list of available reps{B-EVE} from the enterprise system{B-SSW}.,,,,,,,
LF,The product{B-PART} shall simulate{B-EVE} the look of ships{B-PART} at sea.,,,,,,,
LF,The product{B-PART} shall display{B-EVE} the grids within a circle as a view from a periscope{B-HW}.,,,,,,,
LF,The product{B-ACTOR} shall display{B-EVE} each type of ship{B-HW} in a grid using an image{B-VART} of the specific type of ship{B-HW}.,,,,,,,
LF,When the offensive player{B-ACTOR} takes a shot{B-EVE}  the product {B-PART}shall simulate the sound of a ship{B-HW} at sea.,,,,,,,
LF,When a shot{B-EVE} is marked as a miss  the product{B-PART} shall simulate the sound of a shot missing its target.,,,,,,,
LF,When a shot {B-EVE}is marked as a hit {B-EVE} the product{B-PART} shall simulate{B-EVE} the sound of a shot {B-EVE}hitting its target.,,,,,,,
LF,When a ship{B-HW} is sunk {B-EVE} the product{B-PART} shall simulate the sound of a sinking ship{B-HW}.,,,,,,,
A,The product{B-PART} shall be available 24{B-TIM} hours per day{I-TIM}  seven days{I-TIM} per week.,,,,,,,
PE,The product{B-PART} shall able to handle{B-EVE} a large number{B-NUM}of games{B-EVE} simultaneously.{B-VART},,,,,,,
PE,The response time{B-TIM} shall be fast {B-VART}enough to maintain the flow of the game{B-VART}.  The response time{B-TIM} shall be no more than {B-TIM}2 seconds{I-TIM} for 95%{B-NUM} of responses and no more than 4% for the remaining responses.,,,,,,,
PE,The product{B-PART} shall protect{B-EVE} the identity of the players{B-ACTOR}. The product {B-PART}shall provide players{B-ACTOR} no access to information{B-INFO} that might reveal the identity of another player{I-ACTOR}.,,,,,,,
US,The product{B-PART} shall be intuitive and self-explanatory{B-VART}.  Nine out ten{B-NUM} users{B-ACTOR} shall be able to successfully complete a game{B-VART} with no training.,,,,,,,
US,The product{B-PART} shall be available to players {B-ACTOR}who understand English  Spanish and French{B-INFO}.  The product{B-PART} shall allow the user{B-ACTOR} to select the language upon accessing the product.{B-PART},,,,,,,
SE,The product{B-PART}shall provide players{B-ACTOR} no access to information{B-INFO} that might reveal the identity of another {I-ACTOR}player,,,,,,,
PE,The response time{B-TIM} shall be fast{B-TIM} enough to maintain the flow of the game. The response time {B-TIM}shall be no more than 2{B-TIM} seconds{I-TIM} for 95% of responses and no more than 4% for the remaining responses.,,,,,,,
F,The product{B-PART} shall maintain a list of players{B-ACTOR}.,,,,,,,
F,The product {B-PART}shall allow a user{B-ACTOR} to identify himself or herself as a player.{B-ACTOR},,,,,,,
F,Once a game{B-VART} has been initiated  the product{B-PART} shall make the players{B-ACTOR} assigned to the game unavailable for selection from the list of players{B-ACTOR}.,,,,,,,
F,The product{B-PART}shall allow a user{B-ACTOR} to remove{B-EVE} himself or herself from the list of players{B-ACTOR} at any time{B-TIM},,,,,,,
F,The product {B-PART}shall make inactive {B-INFO}players{B-ACTOR} unavailable for selection from the list of players.,,,,,,,
F,The product{B-PART} shall remove players{B-ACTOR} who have been inactive for 24{B-TIM} hours{I-TIM} from the list of players{B-ACTOR}.,,,,,,,
F,The product {B-PART}shall allow a player{B-ACTOR} to initiate a game by selecting another{I-ACTOR} available player{I-ACTOR} from the list of players.,,,,,,,
F,Once a game{B-VART} is initiated  the product {B-PART}shall display{B-EVE} a defensive{B-VART} grid to each player{B-ACTOR},,,,,,,
F,Once a game is initiated {B-EVE} the product {B-PART}shall display an offensive grid to each player.{B-ACTOR},,,,,,,
F,The product{B-PART} shall prevent {B-EVE}a player from viewing the offensive{B-VART} or defensive{B-VART} grids of the other player.{B-ACTOR},,,,,,,
F,Once a game{B-VART} is initiated  the product{B-PART} shall allow each player{B-ACTOR} to position their 5{B-NUM} ships{B-HW}on their respective defensive grids{B-VART}.,,,,,,,
F,The product{B-PART} shall allow a player{B-ACTOR} to position ships{B-HW} horizontally on their grid.,,,,,,,
F,The product{B-PART} shall allow the player {B-ACTOR}to position ships vertically{B-VART} on their grid.,,,,,,,
F,The product {B-PART}shall allow the player{B-ACTOR} to position ships diagonally {B-VART}on their grid,,,,,,,
F,The product {B-PART}shall prevent{B-EVE} the player {B-ACTOR} from overlapping ships{B-HW} on their grid.,,,,,,,
F,When both players{B-ACTOR} have positioned {B-EVE}their 5{B-NUM} ships on their defensive{B-VART} grids  the product {B-PART}shall define the status of each player {B-ACTOR}for the first turn{B-TIM}.,,,,,,,
F,For each turn{B-NUM}  the product {B-PART}shall identify one player{B-ACTOR} as offensive status and one player{B-ACTOR} as defensive status.,,,,,,,
F,The product{B-PART} shall maintain the status of each player{B-ACTOR} for a turn  either offensive or defensive{B-VART}.,,,,,,,
F,At the start {B-TIM}of each turn  {B-NUM}the product {B-PART}shall notify each player{B-ACTOR} of his or her status.,,,,,,,
F,For each turn{B-NUM}  the product {B-PART}shall allow the offensive player{B-ACTOR} to define a shot.,,,,,,,
F,For each shot {B-NUM} the product{B-PART} shall examine {B-EVE}the defensive grid of the defensive player{B-ACTOR} to determine whether the shot was a hit or miss{B-EVE}.,,,,,,,
F,For each shot{B-NUM}  the product{B-PART} shall notify the players{B-ACTOR} whether the shot was a hit or miss.{B-EVE},,,,,,,
F,For each shot {B-NUM} the product {B-PART}shall mark the shot{B-EVE} as a hit or miss{B-EVE}on the defensive{B-VART} grid of the defensive player.{B-ACTOR},,,,,,,
F,For each shot{B-NUM}  the product {B-PART}shall mark the shot as a hit{B-EVE} or miss on the offensive{B-VART} grid of the offensive player.{B-ACTOR},,,,,,,
F,When the hit{B-EVE} results in sinking a ship{B-PART}  the product {B-PART}shall notify the players{B-ACTOR} that the ship was sunk.,,,,,,,
F,When the hit {B-EVE}results in sinking a ship{B-PART}  the product {B-PART}shall mark the ship as sunk on the defensive grid of the defensive player.{B-ACTOR},,,,,,,
F,When the hit {B-EVE} results in sinking a ship{B-PART}  the product{B-PART} shall indicate the type of ship {B-HW}sunk on the defensive grid of the defensive player.{B-ACTOR},,,,,,,
F,When the hit{B-EVE} results in sinking a ship{B-PART}  the product{B-PART} shall mark the ship as sunk on the offensive grid of the offensive player.{B-ACTOR},,,,,,,
F,If the shot was marked as a hit  the product{B-PART} shall allow the offensive player{B-ACTOR} to define a shot.{B-EVE},,,,,,,
F,If the shot{B-PART} was marked as a miss{B-EVE}  the product {B-PART}shall change the status of the offensive player{B-ACTOR} to defensive,,,,,,,
F,If the shot{B-PART} was marked as a miss{B-EVE}  the product {B-PART}shall change the status of the defensive player{B-ACTOR} to offensive,,,,,,,
F,The product{B-PART} shall continue to assign turns until the game is ended.{B-TIM},,,,,,,
F,The product{B-PART} shall end{B-EVE} a game when a hit by the offensive player{B-ACTOR} results in sinking the last of the defensive players{B-ACTOR} ships  which had not been previously{B-TIM} marked as sunk.,,,,,,,
F,The product{B-PART} shall allow a player{B-ACTOR} to end a game at any time{B-TIM} during the game.,,,,,,,
F,When a game is ended  the product {B-PART}shall notify the players{B-ACTOR} that the game is ended.{B-TIM},,,,,,,
F,The notification{B-INFO} of the game ending will include the reason{B-INFO} the game is ended{B-TIM} (i.e.  a player {B-ACTOR}has won the game or a player has ended the game).,,,,,,,
F,When a game is ended  the product {B-PART}shall allow each player{B-ACTOR} to identify himself or herself as an available {I-ACTOR}player in the list of players.,,,,,,,
F,When a game is ended  the product{B-PART} shall allow each player{B-ACTOR} to remove himself or herself from the list of players.,,,,,,,
US,The system{B-SSW} shall be easy to use by callers{B-ACTOR} and supervisors{B-ACTOR}. Callers and supervisors must be able to accomplish any system{B-SSW} task within 2 {B-TIM}minutes.,,,,,,,
US,The system {B-SSW}shall be easy to learn by callers{B-ACTOR} and supervisors. Callers and supervisors{B-ACTOR} shall learn how to use the system {B-SSW} within 10 {B-TIM}minutes.,,,,,,,
PE,The system{B-SSW} shall be responsive. At the DePaul TeleServices Center {B-ORG} when a supervisor{B-ACTOR} uses the system {B-SSW}to view a callers schedule  the system{B-SSW} response time{B-TIM} must be no more than 2 seconds {B-TIM}90% of the time and no more than 5 seconds{I-TIM} the rest of the time{I-TIM}.,,,,,,,
PE,On a 56k{B-NUM} connection  the system{B-SSW} response time {B-TIM}for all operations must be no more{B-TIM} than 6{B-TIM}seconds 90%{B-NUM} of the time{B-TIM}.,,,,,,,
PE,On a 112k {B-NUM}connection or faster{B-TIM}  the system {B-SSW}response time{B-TIM} for all operations must be no more than 3 {B-TIM}seconds{I-TIM} 90% of the time{B-TIM}.,,,,,,,
A,The system{B-SSW} shall have high availability every day {B-TIM}of the year.The system{B-SSW} must be available for use between 12{B-NUM},00AM and 6,00PM all days of the year.,,,,,
A,The system {B-SSW}must be available for use between 7{B-NUM},00AM and 11,59PM all days of the year.,,,,,
MN,The product{B-PART} shall be internet browser{B-PLAT} independent.The product{B-PART} must run using Internet Explorer{B-PLAT} and Netscape Navigator.{B-PLAT},,,,,,,
SE,The product{B-PART} shall ensure that only supervisors{B-ACTOR} can advertise empty time slots.The product {B-PART}must ensure that supervisors{B-ACTOR} are allowed to access advertise{B-INFO} empty time {B-TIM}slots.,,,,,,,
SE,The product {B-PART}shall ensure that only supervisors{B-ACTOR} can enter a callers schedule.The product {B-PART}must ensure that supervisors {B-ACTOR}are allowed to access advertise empty time {B-TIM}slots.,,,,,,,
SE,The product {B-PART}shall ensure that only supervisors {B-ACTOR}can view schedule of all callers{B-ACTOR}.The product{B-ACTOR} must ensure that supervisors{B-ACTOR} are allowed to access advertise empty time slots{B-TIM}.,,,,,,,
LF,The interface{B-GUI} shall have a simple look. In the interface and usability survey  90%{B-NUM} of beta testers {B-ACTOR}must report that the interface is adequately simple.,,,,,,,
LF,The interface {B-GUI}shall be appealing to callers {B-ACTOR}and supervisors{B-ACTOR}. In the interface{B-GUI} and usability survey  80%{B-NUM} of beta testers{B-ACTOR} must report that the interface is appealing.,,,,,,,
LF,The product{B-PART}shall provide GUI{B-GUI} based Monitoring Services.{B-SSW}System Administrators{B-ACTOR} shall monitor message exchanges will predict and determine problems and will also provide internal and external support{B-VART}.,,,,,,,
LF,The product {B-PART}shall comply with City of Chicago{B-LOC} Application Development Guide Framework{B-SSW}.Application Development Framework will provide structured Graphical User Interface{B-GUI}.,,,,,,,
US,The product {B-PART}shall provide Monitoring Services{B-SSW}.The product{B-PART} shall be easy for System Administrators {B-ACTOR}and DBAs to use after two{B-TIM} weeks of usage.,,,,,,,
US,The product {B-PART}shall provide Error Tracking Services{B-SSW}.The product {B-PART}shall help the System Administrators{B-ACTOR}and DBAs to resolve transaction errors 99%{B-NUM} of the time.{B-TIM},,,,,,,
US,The product{B-PART} shall provide Portals{B-GUI}.The product {B-PART}shall help System Administrators {B-ACTOR}to analyze the transactions with ad-hoc reporting{B-INFO} and KPIs (Key Performance Indicators),,,,,,,
PE,The product{B-PART} shall provide Asynchronous Messaging{B-SSW}.The product{I-PART} shall provide asynchronous{I-SSW} messaging to enable parallel processing{I-SSW} and reduce the overhead in communications{B-INFO},,,,,,,
PE,The product{B-PART} shall provide Multi-threading{B-SSW} and Load Balancing{I-SSW}.The product{I-PART} shall provide multi-threading{I-SSW} technology as well as load balancing{I-SSW} to overcome data{B-INFO} load spikes and traffic.,,,,,,,
PE,The product {B-PART}shall process messages{B-INFO} within 2{B-NUM} seconds{B-TIM}.The product{B-PART} shall have a maximum message{I-INFO} processing time of 2{I-NUM} seconds{I-TIM},,,,,,,
PE,The product{B-PART} shall poll the system{B-SSW} for messages{B-INFO} every second{B-TIM}.The product{I-PART} shall poll the system{I-SSW} for new messages{I-INFO} at a maximum of every 1{B-NUM} second{B-TIM}.,,,,,,,
PE,The product{B-PART} shall provide Dynamic{B-VART} Change{I-VART} Support{I-VART} and Transparent{B-VART} resource{I-VART} addition{I-VART}.The product{I-PART} shall support Transparent{I-VART} Resource{I-VART} addition{I-VART} and Dynamic{I-VART} Change{I-VART} support{I-VART} to provide scalability and avoid service interruptions of more than 1{B-NUM} day{B-TIM}.,,,,,,,
A,The product{B-PART} shall be available 99%{B-NUM} of the time{B-TIM}. Rationale,To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,,,,,,
